timestamp,x,y,z
0,21.01,-7.93,-8.71
10,18.71,-7.83,-3.47
20,15.7,-7.3,-0.27
30,12.45,-6.31,1.35
40,9.48,-5.87,2.24
50,7.16,-6.28,3.53
60,5.1,-7.04,5.24
70,3.08,-7.3,6.85
80,0.15,-6.54,8.59
90,-3.19,-5.37,9.7
100,-5.76,-5.29,9.18
110,-7.47,-5.93,8.74
120,-8.8,-6.95,9.78
130,-10.36,-7.42,12.06
140,-12.57,-7.5,14.97
150,-15.05,-7.07,17.29
160,-16.11,-5.52,17.77
170,-17.48,-4.0,18.27
180,-18.32,-3.24,18.76
190,-17.7,-3.35,18.18
200,-16.89,-3.38,16.34
210,-16.91,-2.88,14.5
220,-17.07,-1.96,13.91
230,-16.62,-0.99,14.01
240,-15.25,-0.79,13.71
250,-12.94,-1.28,12.65
260,-9.79,-2.51,11.51
270,-6.37,-4.41,11.04
280,-3.13,-6.41,11.76
290,-0.91,-7.88,12.54
300,-0.35,-7.96,12.35
310,-1.29,-6.35,10.82
320,-2.52,-4.0,8.96
330,-2.36,-2.89,8.4
340,-0.67,-3.11,9.19
350,2.21,-3.84,10.69
360,5.74,-5.43,11.46
370,9.26,-7.78,11.06
380,12.25,-9.97,9.87
390,14.38,-11.41,8.33
400,15.33,-11.9,6.29
410,14.7,-11.38,4.88
420,13.3,-10.22,4.58
430,12.44,-9.27,4.95
440,12.61,-9.4,4.7
450,13.28,-10.12,3.53
460,13.68,-10.52,1.66
470,14.39,-10.41,-0.25
480,15.21,-10.46,-1.72
490,16.09,-10.58,-2.23
500,17.3,-10.74,-2.02
510,18.71,-11.26,-2.03
520,20.35,-11.83,-2.28
530,20.85,-12.01,-3.18
540,20.04,-11.66,-5.23
550,19.03,-10.95,-7.39
560,17.59,-10.16,-8.02
570,16.29,-9.61,-6.74
580,14.97,-9.13,-3.8
590,12.82,-8.06,-1.67
600,10.32,-6.39,-0.81
610,8.83,-5.45,0.04
620,8.42,-5.62,2.17
630,8.78,-6.2,4.62
640,9.03,-6.7,5.53
650,8.85,-6.66,4.75
660,8.74,-6.4,3.62
670,8.59,-6.52,3.61
680,8.29,-6.69,5.06
690,7.57,-6.45,7.02
700,6.01,-5.39,8.89
710,4.0,-3.79,10.19
720,1.64,-2.12,10.66
730,-1.1,-0.9,10.49
740,-3.23,-1.15,9.6
750,-4.33,-2.69,9.01
760,-5.07,-4.35,10.44
770,-7.36,-4.48,13.0
780,-12.85,-2.86,15.61
790,-16.5,0.04,15.72
800,-18.01,2.11,15.02
810,-18.72,1.92,15.76
820,-15.69,-0.62,14.49
830,-11.36,-4.71,11.02
840,-8.62,-8.3,7.65
850,-7.73,-9.72,5.2
860,-8.73,-8.53,5.51
870,-10.4,-6.45,8.66
880,-10.94,-5.21,12.18
890,-9.74,-5.26,13.47
900,-7.04,-6.49,11.74
910,-4.12,-8.42,8.37
920,-1.99,-9.82,5.29
930,-1.6,-10.14,3.2
940,-2.73,-9.06,2.96
950,-4.29,-7.55,5.26
960,-5.2,-6.6,7.77
970,-5.22,-6.37,8.02
980,-4.28,-6.7,5.94
990,-2.59,-7.66,3.57
1000,-0.88,-8.78,2.34
